GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G00601","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00601",,,,,,,,"86000US00601",,,"ZCTA5 00601",14361,"ZCTA5 00601",1353
"G00602","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00602",,,,,,,,"86000US00602",,,"ZCTA5 00602",16807,"ZCTA5 00602",1241
"G00603","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00603",,,,,,,,"86000US00603",,,"ZCTA5 00603",16049,"ZCTA5 00603",999
"G00606","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00606",,,,,,,,"86000US00606",,,"ZCTA5 00606",12119,"ZCTA5 00606",2092
"G00610","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00610",,,,,,,,"86000US00610",,,"ZCTA5 00610",19898,"ZCTA5 00610",1756
"G00612","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00612",,,,,,,,"86000US00612",,,"ZCTA5 00612",18741,"ZCTA5 00612",1228
"G00616","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00616",,,,,,,,"86000US00616",,,"ZCTA5 00616",17007,"ZCTA5 00616",2046
"G00617","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00617",,,,,,,,"86000US00617",,,"ZCTA5 00617",16984,"ZCTA5 00617",1847
"G00622","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00622",,,,,,,,"86000US00622",,,"ZCTA5 00622",14615,"ZCTA5 00622",2067
"G00623","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00623",,,,,,,,"86000US00623",,,"ZCTA5 00623",17130,"ZCTA5 00623",1220
"G00624","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00624",,,,,,,,"86000US00624",,,"ZCTA5 00624",16701,"ZCTA5 00624",867
"G00627","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00627",,,,,,,,"86000US00627",,,"ZCTA5 00627",17000,"ZCTA5 00627",1062
"G00631","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,,"86000US00631",,,"ZCTA5 00631",10244,"ZCTA5 00631",2034
"G00637","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00637",,,,,,,,"86000US00637",,,"ZCTA5 00637",17405,"ZCTA5 00637",1559
"G00638","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00638",,,,,,,,"86000US00638",,,"ZCTA5 00638",16843,"ZCTA5 00638",1242
"G00641","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00641",,,,,,,,"86000US00641",,,"ZCTA5 00641",15792,"ZCTA5 00641",1228
"G00646","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00646",,,,,,,,"86000US00646",,,"ZCTA5 00646",30573,"ZCTA5 00646",2789
"G00647","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00647",,,,,,,,"86000US00647",,,"ZCTA5 00647",14223,"ZCTA5 00647",1574
"G00650","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00650",,,,,,,,"86000US00650",,,"ZCTA5 00650",19764,"ZCTA5 00650",2399
"G00652","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00652",,,,,,,,"86000US00652",,,"ZCTA5 00652",21987,"ZCTA5 00652",2099
"G00653","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00653",,,,,,,,"86000US00653",,,"ZCTA5 00653",12072,"ZCTA5 00653",1529
"G00656","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00656",,,,,,,,"86000US00656",,,"ZCTA5 00656",17355,"ZCTA5 00656",1443
"G00659","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00659",,,,,,,,"86000US00659",,,"ZCTA5 00659",17715,"ZCTA5 00659",1548
"G00660","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00660",,,,,,,,"86000US00660",,,"ZCTA5 00660",19030,"ZCTA5 00660",1578
"G00662","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00662",,,,,,,,"86000US00662",,,"ZCTA5 00662",16834,"ZCTA5 00662",1517
"G00664","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00664",,,,,,,,"86000US00664",,,"ZCTA5 00664",14595,"ZCTA5 00664",2884
"G00667","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00667",,,,,,,,"86000US00667",,,"ZCTA5 00667",14013,"ZCTA5 00667",1064
"G00669","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00669",,,,,,,,"86000US00669",,,"ZCTA5 00669",16922,"ZCTA5 00669",1593
"G00670","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00670",,,,,,,,"86000US00670",,,"ZCTA5 00670",14245,"ZCTA5 00670",2726
"G00674","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00674",,,,,,,,"86000US00674",,,"ZCTA5 00674",18299,"ZCTA5 00674",1461
"G00676","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,,"86000US00676",,,"ZCTA5 00676",14992,"ZCTA5 00676",1348
"G00677","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00677",,,,,,,,"86000US00677",,,"ZCTA5 00677",19943,"ZCTA5 00677",3043
"G00678","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00678",,,,,,,,"86000US00678",,,"ZCTA5 00678",17144,"ZCTA5 00678",2014
"G00680","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00680",,,,,,,,"86000US00680",,,"ZCTA5 00680",14217,"ZCTA5 00680",1090
"G00682","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00682",,,,,,,,"86000US00682",,,"ZCTA5 00682",14706,"ZCTA5 00682",2004
"G00683","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00683",,,,,,,,"86000US00683",,,"ZCTA5 00683",16332,"ZCTA5 00683",1332
"G00685","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00685",,,,,,,,"86000US00685",,,"ZCTA5 00685",15185,"ZCTA5 00685",1211
"G00687","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00687",,,,,,,,"86000US00687",,,"ZCTA5 00687",20941,"ZCTA5 00687",1194
"G00688","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00688",,,,,,,,"86000US00688",,,"ZCTA5 00688",17874,"ZCTA5 00688",2062
"G00690","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00690",,,,,,,,"86000US00690",,,"ZCTA5 00690",18288,"ZCTA5 00690",7228
"G00692","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00692",,,,,,,,"86000US00692",,,"ZCTA5 00692",20585,"ZCTA5 00692",1700
"G00693","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00693",,,,,,,,"86000US00693",,,"ZCTA5 00693",19576,"ZCTA5 00693",1007
"G00694","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00694",,,,,,,,"86000US00694",,,"ZCTA5 00694",,"ZCTA5 00694",
"G00698","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00698",,,,,,,,"86000US00698",,,"ZCTA5 00698",14794,"ZCTA5 00698",984
"G00703","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00703",,,,,,,,"86000US00703",,,"ZCTA5 00703",18846,"ZCTA5 00703",2920
"G00704","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00704",,,,,,,,"86000US00704",,,"ZCTA5 00704",17275,"ZCTA5 00704",2831
"G00705","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00705",,,,,,,,"86000US00705",,,"ZCTA5 00705",20214,"ZCTA5 00705",1734
"G00707","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00707",,,,,,,,"86000US00707",,,"ZCTA5 00707",20760,"ZCTA5 00707",2866
"G00714","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00714",,,,,,,,"86000US00714",,,"ZCTA5 00714",17615,"ZCTA5 00714",2619
"G00715","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00715",,,,,,,,"86000US00715",,,"ZCTA5 00715",12188,"ZCTA5 00715",2220
"G00716","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00716",,,,,,,,"86000US00716",,,"ZCTA5 00716",17969,"ZCTA5 00716",1892
"G00717","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00717",,,,,,,,"86000US00717",,,"ZCTA5 00717",12121,"ZCTA5 00717",963
"G00718","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00718",,,,,,,,"86000US00718",,,"ZCTA5 00718",19372,"ZCTA5 00718",2171
"G00719","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00719",,,,,,,,"86000US00719",,,"ZCTA5 00719",18922,"ZCTA5 00719",2347
"G00720","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00720",,,,,,,,"86000US00720",,,"ZCTA5 00720",15295,"ZCTA5 00720",1365
"G00723","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00723",,,,,,,,"86000US00723",,,"ZCTA5 00723",16063,"ZCTA5 00723",1456
"G00725","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00725",,,,,,,,"86000US00725",,,"ZCTA5 00725",21350,"ZCTA5 00725",1119
"G00727","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00727",,,,,,,,"86000US00727",,,"ZCTA5 00727",31688,"ZCTA5 00727",2144
"G00728","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00728",,,,,,,,"86000US00728",,,"ZCTA5 00728",19340,"ZCTA5 00728",1101
"G00729","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00729",,,,,,,,"86000US00729",,,"ZCTA5 00729",21469,"ZCTA5 00729",1489
"G00730","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00730",,,,,,,,"86000US00730",,,"ZCTA5 00730",15723,"ZCTA5 00730",1205
"G00731","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00731",,,,,,,,"86000US00731",,,"ZCTA5 00731",15473,"ZCTA5 00731",2681
"G00735","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00735",,,,,,,,"86000US00735",,,"ZCTA5 00735",18395,"ZCTA5 00735",1976
"G00736","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00736",,,,,,,,"86000US00736",,,"ZCTA5 00736",21894,"ZCTA5 00736",1454
"G00738","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00738",,,,,,,,"86000US00738",,,"ZCTA5 00738",19859,"ZCTA5 00738",1769
"G00739","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,,"86000US00739",,,"ZCTA5 00739",20065,"ZCTA5 00739",1300
"G00740","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00740",,,,,,,,"86000US00740",,,"ZCTA5 00740",12944,"ZCTA5 00740",4625
"G00741","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00741",,,,,,,,"86000US00741",,,"ZCTA5 00741",22121,"ZCTA5 00741",8280
"G00745","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00745",,,,,,,,"86000US00745",,,"ZCTA5 00745",22960,"ZCTA5 00745",1133
"G00751","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00751",,,,,,,,"86000US00751",,,"ZCTA5 00751",18087,"ZCTA5 00751",1793
"G00754","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00754",,,,,,,,"86000US00754",,,"ZCTA5 00754",19403,"ZCTA5 00754",1437
"G00757","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00757",,,,,,,,"86000US00757",,,"ZCTA5 00757",19827,"ZCTA5 00757",2150
"G00765","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00765",,,,,,,,"86000US00765",,,"ZCTA5 00765",14880,"ZCTA5 00765",1963
"G00766","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,,"86000US00766",,,"ZCTA5 00766",19682,"ZCTA5 00766",1865
"G00767","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00767",,,,,,,,"86000US00767",,,"ZCTA5 00767",16295,"ZCTA5 00767",1482
"G00769","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00769",,,,,,,,"86000US00769",,,"ZCTA5 00769",19700,"ZCTA5 00769",1699
"G00771","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00771",,,,,,,,"86000US00771",,,"ZCTA5 00771",21175,"ZCTA5 00771",2120
"G00772","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00772",,,,,,,,"86000US00772",,,"ZCTA5 00772",16107,"ZCTA5 00772",1316
"G00773","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00773",,,,,,,,"86000US00773",,,"ZCTA5 00773",21850,"ZCTA5 00773",1845
"G00775","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00775",,,,,,,,"86000US00775",,,"ZCTA5 00775",22667,"ZCTA5 00775",5411
"G00777","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00777",,,,,,,,"86000US00777",,,"ZCTA5 00777",19830,"ZCTA5 00777",1276
"G00778","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00778",,,,,,,,"86000US00778",,,"ZCTA5 00778",35183,"ZCTA5 00778",2996
"G00780","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00780",,,,,,,,"86000US00780",,,"ZCTA5 00780",21663,"ZCTA5 00780",2267
"G00782","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00782",,,,,,,,"86000US00782",,,"ZCTA5 00782",13683,"ZCTA5 00782",1258
"G00783","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00783",,,,,,,,"86000US00783",,,"ZCTA5 00783",14995,"ZCTA5 00783",1321
"G00784","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00784",,,,,,,,"86000US00784",,,"ZCTA5 00784",17415,"ZCTA5 00784",1282
"G00786","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00786",,,,,,,,"86000US00786",,,"ZCTA5 00786",37552,"ZCTA5 00786",17910
"G00791","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00791",,,,,,,,"86000US00791",,,"ZCTA5 00791",20269,"ZCTA5 00791",1563
"G00794","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00794",,,,,,,,"86000US00794",,,"ZCTA5 00794",17073,"ZCTA5 00794",1356
"G00795","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00795",,,,,,,,"86000US00795",,,"ZCTA5 00795",20471,"ZCTA5 00795",1438
"G00901","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,,"86000US00901",,,"ZCTA5 00901",21469,"ZCTA5 00901",4618
"G00906","2015-2019","PR",,,,,,,,,,,,,,,,,,,,,,,,,,,"00906",,,,,,,,"86000US00906",,,"ZCTA5 00906",106518,"ZCTA5 00906",45890
